Thu Jul 11 15:42:32 2013,,,,,
9261908,675,186302404,,,
9262996,900,186303304,,,
9263080,1575,186304879,,,
9263594,675,186305554,,,
9264470,1125,186306679,,,
9264512,1216,186307895,,,
9265836,1275,186309170,,,
9265872,825,186309995,,,
9266704,450,186310445,,,
9266796,450,186310895,,,
9267218,600,186311495,,,
9267310,600,186312095,,,
9268398,750,186312845,,,
9268434,1500,186314345,,,
9269526,1350,186315695,,,
9269610,675,186316370,,,
9270698,1425,186317795,,,
9272232,1275,186319070,,,
9273108,675,186319745,,,
9273775,750,186320495,,,
9273811,450,186320945,,,
9274643,600,186321545,,,
9276177,1950,186323495,,,
9277357,825,186324320,,,
9277973,600,186324920,,,
9278057,1425,186326345,,,
9279145,675,186327020,,,
9279189,825,186327845,,,
9279659,600,186328445,,,
9279703,600,186329045,,,
9280535,750,186329795,,,
9280619,1125,186330920,,,
9282541,750,186331670,,,
9283373,975,186332645,,,
9283409,900,186333545,,,
9283923,525,186334070,,,
9285103,750,186334820,,,
9285675,600,186335420,,,
9285719,450,186335870,,,
9286807,600,186336470,,,
9286891,1875,186338345,,,
9288341,825,186339170,,,
9288425,825,186339995,,,
9289257,975,186340970,,,
9289301,975,186341945,,,
9289741,975,186342920,,,
9289841,450,186343370,,,
9290929,758,186344128,,,
9290957,600,186344728,,,
9292467,975,186345703,,,
9292495,825,186346528,,,
9293327,975,186347503,,,
9293427,675,186348178,,,
9294775,1650,186349828,,,
9294795,833,186350661,,,
9295627,675,186351336,,,
9295735,450,186351786,,,
9296137,600,186352386,,,
9296245,600,186352986,,,
9297333,1200,186354186,,,
9298483,900,186355086,,,
9298511,975,186356061,,,
9299599,825,186356886,,,
9299699,450,186357336,,,
9300109,825,186358161,,,
9300209,675,186358836,,,
9301041,825,186359661,,,
9301069,1425,186361086,,,
9302409,525,186361611,,,
9302517,525,186362136,,,
9303369,1050,186363186,,,
9304907,975,186364161,,,
9306103,600,186364761,,,
9306672,1350,186366111,,,
9306700,600,186366711,,,
9307788,825,186367536,,,
9307888,825,186368361,,,
9308302,675,186369036,,,
9308402,600,186369636,,,
9309234,750,186370386,,,
9309262,900,186371286,,,
9310602,600,186371886,,,
9310710,600,186372486,,,
9311542,825,186373311,,,
9313076,675,186373986,,,
9314184,450,186374436,,,
9314292,825,186375261,,,
9314318,450,186375711,,,
9314418,525,186376236,,,
9315506,975,186377211,,,
9315534,750,186377961,,,
9317040,675,186378636,,,
9317068,1950,186380586,,,
9317900,525,186381111,,,
9318000,975,186382086,,,
9319368,675,186382761,,,
9320200,825,186383586,,,
9320308,825,186384411,,,
9320714,675,186385086,,,
9320822,600,186385686,,,
9321930,1050,186386736,,,
9323333,304,186387040,,,
9323411,1425,186388465,,,
9324335,525,186388990,,,
9324845,750,186389740,,,
9324881,450,186390190,,,
9325969,975,186391165,,,
9326633,900,186392065,,,
9326677,975,186393040,,,
9327765,825,186393865,,,
9327849,1350,186395215,,,
9329303,1575,186396790,,,
9329387,600,186397390,,,
9330219,525,186397915,,,
9330263,600,186398515,,,
9331153,600,186399115,,,
9332077,1125,186400240,,,
9332155,76,186400316,,,
9333615,1050,186401366,,,
9334703,600,186401966,,,
9334739,975,186402941,,,
9335100,76,186403017,,,
9335319,1125,186404142,,,
9335403,600,186404742,,,
9336491,825,186405567,,,
9336535,525,186406092,,,
9337001,675,186406767,,,
9337045,675,186407442,,,
9337877,1050,186408492,,,
9337961,750,186409242,,,
9339568,600,186409842,,,
9339604,1275,186411117,,,
9340436,600,186411717,,,
9340528,675,186412392,,,
9340946,900,186413292,,,
9341038,975,186414267,,,
9342126,825,186415092,,,
9342162,1650,186416742,,,
9343338,675,186417417,,,
9344470,750,186418167,,,
9344645,760,186418927,,,
9346008,975,186419902,,,
9346840,600,186420502,,,
9346924,900,186421402,,,
9347218,825,186422227,,,
9347310,825,186423052,,,
9348142,600,186423652,,,
9348178,825,186424477,,,
9349680,600,186425077,,,
9349716,1650,186426727,,,
9350804,600,186427327,,,
9350896,450,186427777,,,
9351980,1275,186429052,,,
9353112,600,186429652,,,
9353622,1350,186431002,,,
9353706,900,186431902,,,
9354538,600,186432502,,,
9356146,975,186433477,,,
9357262,825,186434302,,,
9357748,600,186434902,,,
9357776,975,186435877,,,
9358708,1875,186437752,,,
9359544,525,186438277,,,
9359564,450,186438727,,,
9360396,1125,186439852,,,
9360504,1800,186441652,,,
9361930,1350,186443002,,,
9362038,975,186443977,,,
9363126,600,186444577,,,
9363146,675,186445252,,,
9363764,450,186445702,,,
9363792,675,186446377,,,
9364880,1650,186448027,,,
9366414,1425,186449452,,,
9366514,758,186450210,,,
9367346,600,186450810,,,
9367374,675,186451485,,,
9368202,975,186452460,,,
9368310,825,186453285,,,
9369142,525,186453810,,,
9369162,450,186454260,,,
9369656,450,186454710,,,
9369676,825,186455535,,,
9370764,900,186456435,,,
9370872,900,186457335,,,
9371932,675,186458010,,,
9373042,1216,186459226,,,
9373096,825,186460051,,,
9374630,900,186460951,,,
9375514,1425,186462376,,,
9375590,975,186463351,,,
9376418,825,186464176,,,
9376478,1575,186465751,,,
9377310,825,186466576,,,
9377378,975,186467551,,,
9377824,675,186468226,,,
9377892,675,186468901,,,
9378980,1125,186470026,,,
9379040,1575,186471601,,,
9380698,1350,186472951,,,
9380752,836,186473787,,,
9381862,825,186474612,,,
9382300,825,186475437,,,
9382376,1500,186476937,,,
9383260,900,186477837,,,
9384096,975,186478812,,,
9384164,825,186479637,,,
9384996,1800,186481437,,,
9385056,675,186482112,,,
9386530,1125,186483237,,,
9386590,1425,186484662,,,
9387678,975,186485637,,,
9387746,975,186486612,,,
9388218,900,186487512,,,
9388230,675,186488187,,,
9389062,750,186488937,,,
9389178,675,186489612,,,
9390600,1350,186490962,,,
9390716,1125,186492087,,,
9391804,450,186492537,,,
9391816,675,186493212,,,
9392900,1350,186494562,,,
9394112,675,186495237,,,
9394116,900,186496137,,,
9394622,975,186497112,,,
9394626,450,186497562,,,
9395458,900,186498462,,,
9396872,2175,186500637,,,
9396988,1425,186502062,,,
9397820,600,186502662,,,
9397832,825,186503487,,,
9398330,675,186504162,,,
9398342,825,186504987,,,
9399430,750,186505737,,,
9399546,900,186506637,,,
9400638,600,186507237,,,
9400642,600,186507837,,,
9401854,900,186508737,,,
9402276,912,186509649,,,
9403392,2100,186511749,,,
9404224,600,186512349,,,
9404228,975,186513324,,,
9404484,1,186513325,,,
9404485,76836,186590161,,,
9404805,675,186590836,,,
9404921,975,186591811,,,
9405765,825,186592636,,,
9407291,1061,186593697,,,
9407303,1200,186594897,,,
9408391,675,186595572,,,
9408507,675,186596247,,,
9409087,1275,186597522,,,
9409091,1275,186598797,,,
9410179,675,186599472,,,
9410303,825,186600297,,,
9410689,825,186601122,,,
9410813,675,186601797,,,
9411645,1275,186603072,,,
9411649,1050,186604122,,,
9413563,2175,186606297,,,
9414407,525,186606822,,,
9414917,675,186607497,,,
9415033,600,186608097,,,
9416121,750,186608847,,,
9416705,675,186609522,,,
9416829,975,186610497,,,
9417917,825,186611322,,,
9417921,1200,186612522,,,
9419455,1125,186613647,,,
9419459,2325,186615972,,,
9420291,825,186616797,,,
9420415,525,186617322,,,
9420839,675,186617997,,,
9420891,450,186618447,,,
9421979,1650,186620097,,,
9422055,975,186621072,,,
9423513,1425,186622497,,,
9423589,600,186623097,,,
9424421,600,186623697,,,
9424473,600,186624297,,,
9425889,975,186625272,,,
9426781,675,186625947,,,
9427235,600,186626547,,,
9427295,1200,186627747,,,
9428451,1200,186628947,,,
9429529,1875,186630822,,,
9429605,750,186631572,,,
9430693,450,186632022,,,
9430745,675,186632697,,,
9431207,825,186633522,,,
9431259,825,186634347,,,
9432091,1425,186635772,,,
9432167,675,186636447,,,
9433507,450,186636897,,,
9434399,1125,186638022,,,
9435933,900,186638922,,,
9437089,1875,186640797,,,
9437149,825,186641622,,,
9437539,675,186642297,,,
9438627,675,186642972,,,
9438687,450,186643422,,,
9440161,450,186643872,,,
9440221,825,186644697,,,
9441121,600,186645297,,,
9441957,450,186645747,,,
9442009,825,186646572,,,
9442841,1050,186647622,,,
9442917,1125,186648747,,,
9443355,1650,186650397,,,
9443431,1500,186651897,,,
9444519,975,186652872,,,
9444571,450,186653322,,,
9446177,450,186653772,,,
9446237,675,186654447,,,
9447325,825,186655272,,,
9447839,1200,186656472,,,
9448739,675,186657147,,,
9448799,600,186657747,,,
9449627,1875,186659622,,,
9449703,1800,186661422,,,
9450535,900,186662322,,,
9450587,675,186662997,,,
9452069,525,186663522,,,
9452121,975,186664497,,,
9453209,1125,186665622,,,
9453285,1575,186667197,,,
9453757,975,186668172,,,
9453761,1050,186669222,,,
9454593,675,186669897,,,
9454717,525,186670422,,,
9456131,975,186671397,,,
9456255,975,186672372,,,
9457343,1125,186673497,,,
9457347,900,186674397,,,
9458555,900,186675297,,,
9459473,760,186676057,,,
9459655,1125,186677182,,,
9460165,825,186678007,,,
9460997,675,186678682,,,
9461113,1575,186680257,,,
9462403,900,186681157,,,
9462527,675,186681832,,,
9463359,975,186682807,,,
9463363,1200,186684007,,,
9463869,900,186684907,,,
9463873,1050,186685957,,,
9464961,825,186686782,,,
9465085,825,186687607,,,
9466169,1275,186688882,,,
9466351,1426,186690308,,,
9467269,675,186690983,,,
9468807,1200,186692183,,,
9468923,675,186692858,,,
9469755,1950,186694808,,,
9470336,1050,186695858,,,
9470673,1368,186697226,,,
9471292,900,186698126,,,
9472830,2550,186700676,,,
9472834,675,186701351,,,
9473922,1200,186702551,,,
9474618,450,186703001,,,
9474630,600,186703601,,,
9475718,1275,186704876,,,
9475834,1575,186706451,,,
9476228,750,186707201,,,
9476344,750,186707951,,,
9477176,525,186708476,,,
9477188,675,186709151,,,
9479106,675,186709826,,,
9480062,900,186710726,,,
9480572,1125,186711851,,,
9481660,675,186712526,,,
9481664,1950,186714476,,,
9482244,750,186715226,,,
9482360,1650,186716876,,,
9483448,825,186717701,,,
9483460,675,186718376,,,
9484986,675,186719051,,,
9484998,525,186719576,,,
9485830,750,186720326,,,
9485946,1500,186721826,,,
9486370,1125,186722951,,,
9486430,1875,186724826,,,
9487518,975,186725801,,,
9487586,600,186726401,,,
9489052,975,186727376,,,
9489120,525,186727901,,,
9489952,1275,186729176,,,
9490012,975,186730151,,,
9491352,675,186730826,,,
9492260,1275,186732101,,,
9492774,1950,186734051,,,
9493914,600,186734651,,,
9493990,825,186735476,,,
9495068,825,186736301,,,
9495136,600,186736901,,,
9496224,825,186737726,,,
9496284,600,186738326,,,
9496738,1425,186739751,,,
9496798,1875,186741626,,,
9497630,825,186742451,,,
9497698,525,186742976,,,
9499098,1575,186744551,,,
9499930,975,186745526,,,
9500006,825,186746351,,,
9501464,450,186746801,,,
9501540,975,186747776,,,
9502628,757,186748533,,,
9502680,1050,186749583,,,
9503284,675,186750258,,,
9503304,675,186750933,,,
9504392,1950,186752883,,,
9504500,750,186753633,,,
9504906,600,186754233,,,
9505014,1875,186756108,,,
9505846,450,186756558,,,
9505866,600,186757158,,,
9507108,152,186757310,,,
9507314,1425,186758735,,,
9508174,825,186759560,,,
9509680,450,186760010,,,
9509708,750,186760760,,,
9510896,750,186761510,,,
9510922,900,186762410,,,
9511030,1500,186763910,,,
9512118,525,186764435,,,
9512138,675,186765110,,,
9513652,600,186765710,,,
9513672,450,186766160,,,
9514504,1200,186767360,,,
9514612,825,186768185,,,
9515952,600,186768785,,,
9516812,1650,186770435,,,
9517326,2775,186773210,,,
9518514,1200,186774410,,,
9518542,600,186775010,,,
9520022,675,186775685,,,
9520106,600,186776285,,,
9520982,1050,186777335,,,
9521492,1500,186778835,,,
9522580,675,186779510,,,
9522664,675,186780185,,,
9523244,600,186780785,,,
9523280,675,186781460,,,
9524368,975,186782435,,,
9524460,675,186783110,,,
9525906,450,186783560,,,
9525998,825,186784385,,,
9526830,825,186785210,,,
9526866,1425,186786635,,,
9527720,1200,186787835,,,
9528596,525,186788360,,,
9528680,975,186789335,,,
9530134,525,186789860,,,
9530218,450,186790310,,,
9531306,750,186791060,,,
9531922,525,186791585,,,
9532014,450,186792035,,,
9533102,1050,186793085,,,
9533138,825,186793910,,,
9533612,825,186794735,,,
9533648,1350,186796085,,,
9534480,825,186796910,,,
9534572,600,186797510,,,
9536171,675,186798185,,,
9536215,450,186798635,,,
9537047,1350,186799985,,,
9537131,1125,186801110,,,
9537557,675,186801785,,,
9537641,825,186802610,,,
9538729,975,186803585,,,
9538773,450,186804035,,,
9539857,750,186804785,,,
9540625,43162,186847947,,,
9541037,675,186848622,,,
9541073,600,186849222,,,
9542575,825,186850047,,,
9542611,600,186850647,,,
9543443,900,186851547,,,
9543535,1213,186852760,,,
9543829,750,186853510,,,
9543913,1050,186854560,,,
9544745,675,186855235,,,
9544789,450,186855685,,,
9546283,975,186856660,,,
9546327,525,186857185,,,
9547415,1125,186858310,,,
9547499,975,186859285,,,
9548627,600,186859885,,,
9549807,750,186860635,,,
9550317,1875,186862510,,,
9551149,975,186863485,,,
9551185,450,186863935,,,
9552649,600,186864535,,,
9553845,1200,186865735,,,
9554359,975,186866710,,,
9555211,600,186867310,,,
9555319,600,186867910,,,
9556147,675,186868585,,,
9556175,1125,186869710,,,
9557007,600,186870310,,,
9557107,600,186870910,,,
9558541,675,186871585,,,
9558641,675,186872260,,,
9559729,675,186872935,,,
9559757,1350,186874285,,,
9560395,1425,186875710,,,
9561591,600,186876310,,,
9563017,825,186877135,,,
9563125,1350,186878485,,,
9563977,750,186879235,,,
9564813,900,186880135,,,
9564913,975,186881110,,,
9565745,975,186882085,,,
9565773,900,186882985,,,
9566259,975,186883960,,,
9566287,2475,186886435,,,
9567375,450,186886885,,,
9567475,450,186887335,,,
9568564,1275,186888610,,,
9569672,900,186889510,,,
9569780,825,186890335,,,
9571210,450,186890785,,,
9572150,2325,186893110,,,
9572320,152,186893262,,,
9573006,675,186893937,,,
9573106,675,186894612,,,
9573938,1950,186896562,,,
9573966,1275,186897837,,,
9574448,750,186898587,,,
9574476,1125,186899712,,,
9575564,675,186900387,,,
9575664,525,186900912,,,
9577226,600,186901512,,,
9577334,750,186902262,,,
9578442,675,186902937,,,
9578952,1425,186904362,,,
9579892,600,186904962,,,
9580720,975,186905937,,,
9580748,2175,186908112,,,
9581580,675,186908787,,,
9581680,675,186909462,,,
9583118,675,186910137,,,
9583218,450,186910587,,,
9584306,1425,186912012,,,
9584334,1575,186913587,,,
9584790,1125,186914712,,,
9584874,600,186915312,,,
9585706,450,186915762,,,
9585750,675,186916437,,,
9587240,825,186917262,,,
9587284,675,186917937,,,
9588372,1125,186919062,,,
9588456,900,186919962,,,
9589549,450,186920412,,,
9589585,975,186921387,,,
9590673,975,186922362,,,
9591187,900,186923262,,,
9591757,1216,186924478,,,
9592111,675,186925153,,,
9592147,450,186925603,,,
9593513,975,186926578,,,
9593557,450,186927028,,,
9594389,750,186927778,,,
9594473,900,186928678,,,
9594903,900,186929578,,,
9594987,675,186930253,,,
9596075,525,186930778,,,
9596119,525,186931303,,,
9597295,675,186931978,,,
9598383,525,186932503,,,
9598419,525,186933028,,,
9599917,450,186933478,,,
9599953,675,186934153,,,
9600877,825,186934978,,,
9601496,1425,186936403,,,
9602328,450,186936853,,,
9602412,975,186937828,,,
9603946,675,186938503,,,
9605078,750,186939253,,,
9605650,600,186939853,,,
9605742,825,186940678,,,
9606830,1350,186942028,,,
9606866,675,186942703,,,
9607344,1200,186943903,,,
9607380,825,186944728,,,
9608212,600,186945328,,,
9608304,675,186946003,,,
9610134,600,186946603,,,
9610218,825,186947428,,,
9611050,675,186948103,,,
9611094,1061,186949164,,,
9611564,1650,186950814,,,
9612696,525,186951339,,,
9612780,975,186952314,,,
9613360,909,186953223,,,
9613396,1275,186954498,,,
9614484,450,186954948,,,
9614576,675,186955623,,,
9616018,600,186956223,,,
9616110,975,186957198,,,
9616942,1200,186958398,,,
9616978,1125,186959523,,,
9617418,675,186960198,,,
9617526,675,186960873,,,
9618614,525,186961398,,,
9618634,600,186961998,,,
9620152,600,186962598,,,
9620172,600,186963198,,,
9621004,600,186963798,,,
9621112,1050,186964848,,,
9622452,600,186965448,,,
9622480,600,186966048,,,
9623412,600,186966648,,,
9623922,750,186967398,,,
9625038,975,186968373,,,
9626168,600,186968973,,,
9626188,450,186969423,,,
9627276,1350,186970773,,,
9627384,750,186971523,,,
9627786,600,186972123,,,
9627894,1125,186973248,,,
9628726,825,186974073,,,
9628746,675,186974748,,,
9630094,825,186975573,,,
9631026,2175,186977748,,,
9631054,825,186978573,,,
9632564,525,186979098,,,
9633680,975,186980073,,,
9634336,600,186980673,,,
9634404,825,186981498,,,
9635492,1425,186982923,,,
9635552,825,186983748,,,
9636002,825,186984573,,,
9636062,975,186985548,,,
9636894,900,186986448,,,
9636962,600,186987048,,,
9638310,1050,186988098,,,
9639194,975,186989073,,,
9639270,450,186989523,,,
9640732,450,186989973,,,
9640808,825,186990798,,,
9641896,1200,186991998,,,
9642018,1050,186993048,,,
9642078,1050,186994098,,,
9643166,825,186994923,,,
9643234,450,186995373,,,
9644704,600,186995973,,,
9644772,525,186996498,,,
9645604,825,186997323,,,
9645664,975,186998298,,,
9647004,600,186998898,,,
9647080,825,186999723,,,
9647964,1575,187001298,,,
9648474,1125,187002423,,,
9648904,1216,187003639,,,
9649242,7831411,194835050,,,
9649562,975,194836025,,,
9649638,675,194836700,,,
9651134,1350,194838050,,,
9651138,675,194838725,,,
9651970,600,194839325,,,
9652484,1050,194840375,,,
9652694,1216,194841591,,,
9653696,825,194842416,,,
9654280,1200,194843616,,,
9654396,1575,194845191,,,
9655484,825,194846016,,,
9655496,975,194846991,,,
9657018,675,194847666,,,
9657030,525,194848191,,,
9657862,900,194849091,,,
9657978,600,194849691,,,
9658880,1500,194851191,,,
9659712,825,194852016,,,
9659716,1200,194853216,,,
9661250,900,194854116,,,
9662252,228,194854344,,,
9662462,900,194855244,,,
9663034,975,194856219,,,
9663046,825,194857044,,,
9664134,1200,194858244,,,
9664250,750,194858994,,,
9664648,1425,194860419,,,
9664764,2100,194862519,,,
9665596,675,194863194,,,
9665608,525,194863719,,,
9667201,675,194864394,,,
9667325,825,194865219,,,
9668157,1350,194866569,,,
9668161,1575,194868144,,,
9668671,1875,194870019,,,
9668675,1650,194871669,,,
9669763,825,194872494,,,
9669887,675,194873169,,,
9670983,675,194873844,,,
9672071,450,194874294,,,
9672187,900,194875194,,,
9673721,675,194875869,,,
9674565,1200,194877069,,,
9674943,900,194877969,,,
9674947,1200,194879169,,,
9675779,525,194879694,,,
9675903,675,194880369,,,
9677313,450,194880819,,,
9677437,675,194881494,,,
9678525,1575,194883069,,,
9678529,975,194884044,,,
9679621,2550,194886594,,,
9679737,675,194887269,,,
9680825,1125,194888394,,,
9681339,1425,194889819,,,
9682183,825,194890644,,,
9683747,600,194891244,,,
9683807,975,194892219,,,
9684895,1896,194894115,,,
9684963,900,194895015,,,
9685473,675,194895690,,,
9686305,675,194896365,,,
9686365,975,194897340,,,
9687193,900,194898240,,,
9687269,1365,194899605,,,
9688101,825,194900430,,,
9688153,525,194900955,,,
9689639,900,194901855,,,
9689691,675,194902530,,,
9690779,1350,194903880,,,
9690855,1425,194905305,,,
9691421,600,194905905,,,
9692577,450,194906355,,,
9692637,975,194907330,,,
9694115,675,194908005,,,
9695007,1425,194909430,,,
9695911,675,194910105,,,
9695963,825,194910930,,,
9696795,2475,194913405,,,
9696871,1650,194915055,,,
9697305,1200,194916255,,,
9697381,750,194917005,,,
9698469,975,194917980,,,
9698521,450,194918430,,,
9699884,2025,194920455,,,
9699920,900,194921355,,,
9701008,600,194921955,,,
9701100,600,194922555,,,
9701522,600,194923155,,,
9701614,900,194924055,,,
9702446,1350,194925405,,,
9702482,1575,194926980,,,
9703830,825,194927805,,,
9703914,600,194928405,,,
9704790,1500,194929905,,,
9706324,1350,194931255,,,
9707412,675,194931930,,,
9707496,600,194932530,,,
9707538,675,194933205,,,
9707630,900,194934105,,,
9708718,1650,194935755,,,
9708754,1125,194936880,,,
9710252,1350,194938230,,,
9710288,900,194939130,,,
9711120,825,194939955,,,
9711212,600,194940555,,,
9712552,1875,194942430,,,
9713428,1050,194943480,,,
9713512,525,194944005,,,
9713942,975,194944980,,,
9714026,525,194945505,,,
9715114,1125,194946630,,,
9716722,1275,194947905,,,
9717554,525,194948430,,,
9717582,900,194949330,,,
9718092,675,194950005,,,
9719280,900,194950905,,,
9719860,600,194951505,,,
9719880,675,194952180,,,
9720968,1275,194953455,,,
9721076,675,194954130,,,
9722506,675,194954805,,,
9722614,900,194955705,,,
9723446,825,194956530,,,
9723466,675,194957205,,,
9724336,825,194958030,,,
9724364,675,194958705,,,
9725196,2100,194960805,,,
9726734,600,194961405,,,
9727922,825,194962230,,,
9728522,600,194962830,,,
9728630,900,194963730,,,
9729718,450,194964180,,,
9729738,825,194965005,,,
9730228,975,194965980,,,
9730248,675,194966655,,,
9731080,900,194967555,,,
9731188,675,194968230,,,
9732787,900,194969130,,,
9732815,1125,194970255,,,
9733647,675,194970930,,,
9733747,975,194971905,,,
9734157,450,194972355,,,
9734257,450,194972805,,,
9735345,1575,194974380,,,
9735373,1425,194975805,,,
9736457,675,194976480,,,
9736565,675,194977155,,,
9737653,750,194977905,,,
9739191,1725,194979630,,,
9740043,825,194980455,,,
9740429,450,194980905,,,
9740529,525,194981430,,,
9741361,825,194982255,,,
9741389,900,194983155,,,
9742899,3075,194986230,,,
9742927,1875,194988105,,,
9744015,675,194988780,,,
9744115,675,194989455,,,
9745227,1200,194990655,,,
9746315,675,194991330,,,
9746423,975,194992305,,,
9746933,525,194992830,,,
9747785,1125,194993955,,,
9749265,1050,194995005,,,
9750445,1800,194996805,,,
9750481,675,194997480,,,
9750959,825,194998305,,,
9750995,600,194998905,,,
9751827,1350,195000255,,,
9752747,900,195001155,,,
9752791,675,195001830,,,
9753623,900,195002730,,,
9753707,675,195003405,,,
9755157,900,195004305,,,
9755241,1275,195005580,,,
9756329,675,195006255,,,
9756373,600,195006855,,,
9756975,975,195007830,,,
9757011,1575,195009405,,,
9758191,900,195010305,,,
9759725,750,195011055,,,
9760557,900,195011955,,,
9760593,600,195012555,,,
9761429,1125,195013680,,,
9761513,1275,195014955,,,
9762345,675,195015630,,,
9762389,450,195016080,,,
9762859,900,195016980,,,
9762903,600,195017580,,,
9763991,1350,195018930,,,
9764075,1125,195020055,,,
9765127,525,195020580,,,
9765243,1275,195021855,,,
9766343,1125,195022980,,,
9767877,2250,195025230,,,
9768825,450,195025680,,,
9769661,1575,195027255,,,
9769665,1125,195028380,,,
9770497,525,195028905,,,
9770621,600,195029505,,,
9771011,600,195030105,,,
9771135,600,195030705,,,
9772223,900,195031605,,,
9772227,1050,195032655,,,
9773881,975,195033630,,,
9774981,600,195034230,,,
9775097,450,195034680,,,
9775495,675,195035355,,,
9775616,2625,195037980,,,
9776443,675,195038655,,,
9777283,675,195039330,,,
9777407,450,195039780,,,
9778239,1650,195041430,,,
9778243,1200,195042630,,,
9779773,1500,195044130,,,
9779777,1125,195045255,,,
9780865,450,195045705,,,
9780989,600,195046305,,,
9781413,525,195046830,,,
9781465,825,195047655,,,
9782297,675,195048330,,,
9782373,750,195049080,,,
9783835,1350,195050430,,,
9783911,750,195051180,,,
9784999,825,195052005,,,
9785051,600,195052605,,,
9786211,900,195053505,,,
9787299,675,195054180,,,
9787359,600,195054780,,,
9787809,600,195055380,,,
9787869,675,195056055,,,
9788769,1350,195057405,,,
9790107,600,195058005,,,
9790183,750,195058755,,,
9791015,675,195059430,,,
9791067,525,195059955,,,
9791525,600,195060555,,,
9791577,825,195061380,,,
9792665,675,195062055,,,
9792741,750,195062805,,,
9793825,450,195063255,,,
9793885,675,195063930,,,
9794973,1875,195065805,,,
9796511,1350,195067155,,,
9797411,975,195068130,,,
9797471,450,195068580,,,
9798040,675,195069255,,,
9798116,450,195069705,,,
9798948,2100,195071805,,,
9800486,825,195072630,,,
9801626,450,195073080,,,
9801702,675,195073755,,,
9802274,1050,195074805,,,
9802334,750,195075555,,,
9803422,825,195076380,,,
9803490,450,195076830,,,
9803932,525,195077355,,,
9804000,450,195077805,,,
9804832,1275,195079080,,,
9804892,1200,195080280,,,
9806810,675,195080955,,,
9807642,600,195081555,,,
9807718,1800,195083355,,,
9808152,600,195083955,,,
9808228,675,195084630,,,
9809368,1425,195086055,,,
9809948,675,195086730,,,
9810016,600,195087330,,,
9811104,900,195088230,,,
9811164,2550,195090780,,,
9812642,750,195091530,,,
9812702,600,195092130,,,
9813534,825,195092955,,,
9813602,525,195093480,,,
9814074,600,195094080,,,
9814086,975,195095055,,,
9815174,1050,195096105,,,
9815290,1425,195097530,,,
9816708,1425,195098955,,,
9816824,1275,195100230,,,
9817656,600,195100830,,,
9817668,525,195101355,,,
9818816,684,195102039,,,
9819008,1275,195103314,,,
9819964,1125,195104439,,,
9819968,525,195104964,,,
9820478,600,195105564,,,
9821570,900,195106464,,,
9822724,825,195107289,,,
9822840,3000,195110289,,,
9823928,450,195110739,,,
9823940,600,195111339,,,
9824442,525,195111864,,,
9824454,600,195112464,,,
9825286,975,195113439,,,
9825402,1125,195114564,,,
9826750,675,195115239,,,
9826754,900,195116139,,,
9827710,825,195116964,,,
9829244,975,195117939,,,
9830336,675,195118614,,,
9830919,825,195119439,,,
9831035,825,195120264,,,
9832123,600,195120864,,,
9832135,525,195121389,,,
9832633,525,195121914,,,
9832645,450,195122364,,,
9833477,900,195123264,,,
9833593,1125,195124389,,,
9834941,600,195124989,,,
9835777,900,195125889,,,
9837315,600,195126489,,,
9838527,825,195127314,,,
9838531,450,195127764,,,
9838649,600,195128364,,,
9838661,450,195128814,,,
9839749,1875,195130689,,,
9839865,1425,195132114,,,
9841287,975,195133089,,,
9841403,750,195133839,,,
9842235,825,195134664,,,
9842247,600,195135264,,,
9843711,900,195136164,,,
9844547,525,195136689,,,
9845053,450,195137139,,,
9845057,900,195138039,,,
9846269,750,195138789,,,
9847717,900,195139689,,,
9848601,900,195140589,,,
9848677,450,195141039,,,
9849115,600,195141639,,,
9849191,975,195142614,,,
9850279,825,195143439,,,
9850911,450,195143889,,,
9850979,825,195144714,,,
9852067,900,195145614,,,
9852127,2550,195148164,,,
9853601,1200,195149364,,,
9853661,900,195150264,,,
9854493,600,195150864,,,
9854561,450,195151314,,,
9855388,600,195151914,,,
9855464,825,195152739,,,
9856348,1350,195154089,,,
9857882,600,195154689,,,
9858970,675,195155364,,,
9859046,1500,195156864,,,
9859618,900,195157764,,,
9859678,1125,195158889,,,
9860766,975,195159864,,,
9860834,450,195160314,,,
9861280,525,195160839,,,
9861348,825,195161664,,,
9862180,1200,195162864,,,
9862240,600,195163464,,,
9863833,1125,195164589,,,
9863909,1350,195165939,,,
9864741,525,195166464,,,
9864793,525,195166989,,,
9865255,675,195167664,,,
9865307,525,195168189,,,
9866395,825,195169014,,,
9866471,975,195169989,,,
9867555,600,195170589,,,
9867615,975,195171564,,,
9868771,600,195172164,,,
9870305,1575,195173739,,,
9871137,600,195174339,,,
9871197,900,195175239,,,
9871527,525,195175764,,,
9871579,450,195176214,,,
9872411,750,195176964,,,
9872487,975,195177939,,,
9873945,1950,195179889,,,
9874021,1875,195181764,,,
9875109,675,195182439,,,
9875161,450,195182889,,,
9876253,1200,195184089,,,
9877409,600,195184689,,,
9877469,675,195185364,,,
9877923,900,195186264,,,
9877983,675,195186939,,,
9878815,900,195187839,,,
9880391,675,195188514,,,
9881595,675,195189189,,,
9881989,450,195189639,,,
9882105,1125,195190764,,,
9882949,1275,195192039,,,
9883777,525,195192564,,,
9883901,600,195193164,,,
9884733,900,195194064,,,
9884737,750,195194814,,,
9886271,2250,195197064,,,
9886275,825,195197889,,,
9887363,675,195198564,,,
